,Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
1663,NANX,NANOPHASE TECHS CORP,OTCQB,2.39,0.4202,9500,Common Stock,USA,Illinois,
1664,DTGI,DIGERATI TECHS INC,OTCQB,0.134,-4.2857,110635,Common Stock,USA,Texas,
1665,BZWR,BUSINESS WARRIOR CORP,OTCQB,0.009,-9.0909,943702,Common Stock,USA,Nevada,
1666,UNTN,UNITED TENNESSEE BNKSHS,OTCQB,20.5,,0,Common Stock,USA,Tennessee,
1667,CAPC,CAPSTONE COMPANIES INC,OTCQB,0.10595,-2.5299,2400,Common Stock,USA,Florida,
1668,VKIN,VIKING ENERGY GROUP INC,OTCQB,0.3088,-7.6002,15353,Common Stock,USA,Texas,
1669,BWMG,BROWNIE'S MARINE GRP INC,OTCQB,0.0295,-1.6667,5100,Common Stock,USA,Florida,
1670,BEBE,BEBE STORES INC,OTCQB,6.0,-18.9189,7389,Common Stock,USA,California,
1671,FMHS,FARMHOUSE INC,OTCQB,0.1929,,0,Common Stock,USA,California,
1672,WDDD,WORLDS INC,OTCQB,0.01592,32.6667,45490,Common Stock,USA,Massachusetts,
1673,ELTP,ELITE PHARMS INC,OTCQB,0.034,-2.6485,119378,Common Stock,USA,New Jersey,
1674,RDGL,VIVOS INC,OTCQB,0.048925,-0.7606,239492,Common Stock,USA,Washington,
1675,PLDGP,PROLOGIS PFD Q,OTCQB,55.05,-0.398,173,Preferred Stock,USA,California,
1676,ENDI,ENDI CORP,OTCQB,4.52,-14.5558,1220,Common Stock,USA,Virginia,
1677,XSNX,NOVACCESS GLOBAL INC,OTCQB,0.16,6.7378,18000,Common Stock,USA,Ohio,
1678,PGTK,PACIFIC GREEN TECHS,OTCQB,0.96,-4.0,2094,Common Stock,USA,Delaware,
1679,INVU,INVESTVIEW INC,OTCQB,0.0188,-3.5897,355385,Common Stock,USA,New Jersey,
1680,MLYF,WESTERN MAGNESIUM CORP,OTCQB,0.07116,-3.7077,75270,Foreign Ordinary Shares,USA,Virginia,
1681,BTTC,BITECH TECHNOLOGIES CORP,OTCQB,0.15,0.0,1500,Common Stock,USA,California,
1682,KAYS,KAYA HOLDINGS INC,OTCQB,0.0911,12.1921,1522,Common Stock,USA,Florida,
1683,ALRT,ALR TECHS INC,OTCQB,0.0418,-0.4762,40500,Common Stock,USA,Virginia,
1684,SKVI,SKINVISIBLE INC,OTCQB,0.17,30.6687,300,Common Stock,USA,Nevada,
1685,HGTXU,HUGOTON ROYALTY TR UBI,OTCQB,2.33,-3.719,88572,Common Stock,USA,Texas,
1686,TMBXF,TOMBSTONE EXPLOR CORP,OTCQB,0.479,,0,Foreign Ordinary Shares,USA,Arizona,
1687,IMEXF,IMAGIN MEDICAL INC,OTCQB,0.25,10.2779,33055,Foreign Ordinary Shares,USA,Massachusetts,
1688,VPLM,VOIP PAL.COM INC,OTCQB,0.01165,16.5,805670,Common Stock,USA,Texas,
1689,JETMF,GLOBAL CRSSIG ARLINS NEW,OTCQB,0.6105,-1.2136,2837,Foreign Ordinary Shares,USA,Florida,
1690,ATGN,ALTIGEN COMMUNS INC,OTCQB,0.97525,-2.475,2799,Common Stock,USA,California,
1691,IDTA,IDENTA CORP,OTCQB,0.3518,,0,Common Stock,USA,Maryland,
1692,CIPI,CORRELATE INFRSTRCTR PTRS,OTCQB,1.65,,0,Common Stock,USA,Louisiana,
1693,TKOI,TELKONET INC,OTCQB,0.0264,0.0,1535,Common Stock,USA,Wisconsin,
1694,BHNGF,BHANG INC,OTCQB,0.0131,-49.8084,124559,Foreign Ordinary Shares,USA,Nevada,
1695,RLBD,REAL BRANDS INC,OTCQB,0.011,2.3256,825480,Common Stock,USA,Rhode Island,
1696,LIVC,LIVE CURRENT MEDIA INC,OTCQB,0.2795,3.5185,2000,Common Stock,USA,California,
1697,FNRN,FIRST NTHN COMMUNTY BNCRP,OTCQB,8.65,-0.6889,1200,Common Stock,USA,California,
1698,PSHIF,LUCERO ENERGY CORP,OTCQB,0.3812,-4.2211,2044,Foreign Ordinary Shares,USA,Colorado,
1699,MMND,MASTERMIND INC,OTCQB,0.315,0.0,2595,Common Stock,USA,Georgia,
1700,STHI,SPROUT TINY HOMES,OTCQB,0.0964,-0.1036,100,Common Stock,USA,Colorado,
1701,UNIR,UNIROYAL GBL ENG PRODS,OTCQB,0.7122,,0,Common Stock,USA,Florida,
1702,PFHO,PACIFIC HLTH CRE ORGZ INC,OTCQB,0.8316,,0,Common Stock,USA,California,
1703,PGOL,PATRIOT GOLD CORP,OTCQB,0.05,0.0,42350,Foreign Ordinary Shares,USA,Nevada,
1704,BABB,BAB INC,OTCQB,0.78,0.0,7860,Common Stock,USA,Illinois,
1705,RKFL,ROCKETFUEL BLOCKCHAIN INC,OTCQB,0.1997,0.0,8140,Common Stock,USA,California,
1706,RSCF,REFLECT SCIENTIFIC INC,OTCQB,0.069,-1.2876,38616,Common Stock,USA,Utah,
1707,FALC,FALCONSTOR SOFTWARE,OTCQB,0.9,-28.0,6300,Common Stock,USA,Texas,
1708,GLXZ,GALAXY GAMING INC,OTCQB,2.53,-3.4351,40173,Common Stock,USA,Nevada,
1709,GAXY,GALAXY NEXT GENERATION,OTCQB,0.075,-6.25,66415,Common Stock,USA,Georgia,
1710,CHUC,CHARLIES HOLDINGS INC,OTCQB,0.07,-6.6667,5045,Common Stock,USA,California,
1711,PKTX,PROTOKINETIX INC,OTCQB,0.0345,,0,Common Stock,USA,Ohio,
1712,NWBO,NORTHWEST BIOTHRPUTCS INC,OTCQB,0.707,0.2837,1499197,Common Stock,USA,Maryland,
1713,TPTW,TPT GLOBAL TECH INC,OTCQB,0.0012,-25.0,17596477,Common Stock,USA,California,
1714,ADMQ,ADM ENDEAVORS INC,OTCQB,0.0635,0.7937,73000,Common Stock,USA,Texas,
1715,LQMT,LIQUIDMETAL TECHS INC,OTCQB,0.079,-5.9524,298521,Common Stock,USA,California,
1716,FBPA,FRMRS BK APPOMATTO,OTCQB,27.26,,0,Common Stock,USA,Virginia,
1717,BLMS,BLOOMIOS INC,OTCQB,2.47,,0,Common Stock,USA,California,
1718,CRTG,THE CORETEC GROUP INC,OTCQB,0.0299,-0.3333,245,Common Stock,USA,Michigan,
1719,LBSR,LIBERTY STAR URANM METLS,OTCQB,0.1375,15.5462,247059,Common Stock,USA,Arizona,
1720,SENR,STRATEGIC ENVIR&ENGY RES,OTCQB,0.1,-16.7187,29486,Common Stock,USA,Colorado,
1721,MEEC,MIDWEST ENERGY EMISSION,OTCQB,0.2345,-6.2,13765,Common Stock,USA,Texas,
1722,IVDN,INNOVATIVE DESIGNS INC,OTCQB,0.199,,0,Common Stock,USA,Pennsylvania,
1723,GBLX,GB SCIENCES INC,OTCQB,0.0275,0.0,4088,Common Stock,USA,Nevada,
1724,HMBL,HUMBL INC,OTCQB,0.0273,1.676,8941527,Common Stock,USA,California,
1725,CRTD,CREATD INC,OTCQB,0.1,0.0,80168,Common Stock,USA,New York,
1726,REEMF,RARE ELEMENT RES LTD,OTCQB,0.41,-7.2398,63255,Foreign Ordinary Shares,USA,Colorado,
1727,RWCB,REDWOOD CAPITAL BNCRP(CA),OTCQB,18.8,,0,Common Stock,USA,California,
1728,CRVW,CAREVIEW COMMUNS INC,OTCQB,0.0585,-0.8475,9479,Common Stock,USA,Texas,
1729,MJHI,MJ HARVEST INC,OTCQB,0.144275,,0,Common Stock,USA,Nevada,
1730,PHOT,GROWLIFE INC,OTCQB,0.001,-16.6667,9788118,Common Stock,USA,Washington,
1731,BMNM,BIMINI CAPITAL MGMT INC A,OTCQB,1.4,,0,Common Stock,USA,Florida,
1732,SUND,SUNDANCE STRATEGIES INC,OTCQB,1.0,,0,Common Stock,USA,Utah,
1733,MOST,MOBILESMITH  INC,OTCQB,2.01,,0,Common Stock,USA,North Carolina,
1734,MNBO,MNB HOLDINGS CORP,OTCQB,34.11,,0,Common Stock,USA,California,
1735,PLHCF,PLANT HEALTH CARE PLC ORD,OTCQB,0.1386,6.7961,333,Foreign Ordinary Shares,USA,North Carolina,
1736,HSTI,HIGH SIERRA TECH,OTCQB,1.45,,0,Common Stock,USA,Nevada,
1737,GZIC,GZ6G TECHNOLOGIES CORP,OTCQB,0.0241,-7.3077,18970,Common Stock,USA,Nevada,
1738,TSSI,TSS INC,OTCQB,0.57795,-5.2541,6200,Common Stock,USA,Texas,
1739,QSAM,QSAM BIOSCIENCES INC,OTCQB,5.5,-4.014,101,Common Stock,USA,Texas,
1740,CYDY,CYTODYN INC,OTCQB,0.4725,1.6129,1272679,Common Stock,USA,Washington,
1741,ZRFY,ZERIFY INC,OTCQB,0.00875,-6.3169,690726,Common Stock,USA,New Jersey,
1742,ZDPY,ZONED PROPERTIES INC,OTCQB,0.609,-6.3077,8125,Common Stock,USA,Arizona,
1743,LFGP,LEDYARD FINCL GROUP INC,OTCQB,20.25,,25,Common Stock,USA,New Hampshire,
1744,CETY,CLEAN ENERGY TECHNOLOGIES,OTCQB,0.044,-2.2222,194388,Common Stock,USA,California,
1745,SMME,SMARTMETRIC INC,OTCQB,0.0019,-24.0,32560359,Common Stock,USA,Nevada,
1746,ISCO,INTL STEM CELL CORP,OTCQB,0.3496,,5,Common Stock,USA,California,
1747,AHNR,ATHENA GOLD CORPORATION,OTCQB,0.051,-3.7736,51000,Foreign Ordinary Shares,USA,California,
1748,PBSV,PHARM-BIO SERV INC,OTCQB,0.8001,,0,Common Stock,USA,Puerto Rico,
1749,NLST,NETLIST INC,OTCQB,2.65,1.5326,233770,Common Stock,USA,California,
1750,HENC,HERO TECHNOLOGIES INC,OTCQB,0.055,6.8999,41400,Common Stock,USA,Delaware,
1751,PBNK,PINNACLE BANK (CA),OTCQB,12.25,-2.0,4410,Common Stock,USA,California,
1752,CVAT,CAVITATION TECHS INC,OTCQB,0.0379,,0,Common Stock,USA,California,
1753,CNBX,CNBX PHARMACEUTICAL INC,OTCQB,2.8,-1.7544,133,Common Stock,USA,Maryland,
1754,GLNS,GOLDEN STAR RES CORP,OTCQB,2.6,,0,Common Stock,USA,Nevada,
1755,KTEL,KONATEL INC,OTCQB,1.265,-2.6923,10722,Common Stock,USA,Texas,
1756,QNTO,QUAINT OAK BANCORP INC,OTCQB,23.0,-1.0753,1000,Common Stock,USA,Pennsylvania,
1757,LUVU,LUVU BRANDS INC,OTCQB,0.09049,-8.9638,20800,Common Stock,USA,Georgia,
1758,SRGZ,STAR GOLD CORP,OTCQB,0.01,0.0,10000,Common Stock,USA,Idaho,
1759,CYCA,CYTTA CORP,OTCQB,0.1076,1.4138,85721,Common Stock,USA,Nevada,
1760,HSTA,HESTIA INSIGHT INC,OTCQB,1.0,,0,Common Stock,USA,Nevada,
1761,OMTK,OMNITEK ENGINEERING CORP,OTCQB,0.047,-6.0,801,Common Stock,USA,California,
1762,OPXS,OPTEX SYSTEMS HLDGS INC,OTCQB,2.4,0.0,1625,Common Stock,USA,Texas,
1763,ACRG,AMERICAN CLEAN RESOURCES,OTCQB,3.1,3.3333,6380,Common Stock,USA,Alabama,
1764,TPCS,TECHPRECISION CORP,OTCQB,1.475,-3.2787,19420,Common Stock,USA,Massachusetts,
1765,CMUV,CMUV BANCORP,OTCQB,14.1,,0,Common Stock,USA,California,
1766,IAALF,IBC ADVANCED ALLOY CP ORD,OTCQB,0.125,-1.5748,117000,Foreign Ordinary Shares,USA,Indiana,
1767,NAUH,NATL AMER UNIVERSITY HLDG,OTCQB,0.084,,0,Common Stock,USA,South Dakota,
1768,CNFN,CFN ENTERPRISES INC,OTCQB,0.4999,,0,Common Stock,USA,Montana,
1769,HWNI,HIGH WIRE NETWORKS INC.,OTCQB,0.095,0.0,54099,Common Stock,USA,Florida,
1770,KBLB,KRAIG BIOCRAFT LABS INC,OTCQB,0.0504,-0.3953,275668,Common Stock,USA,Michigan,
1771,MOJO,EQUATOR BEVERAGE COMPANY,OTCQB,0.08,23.0769,24725,Common Stock,USA,New Jersey,
1772,CRKR,CREEK ROAD MINERS INC,OTCQB,0.19555,-31.8404,18689,Common Stock,USA,Nevada,
1773,LTUM,LITHIUM CORP,OTCQB,0.14605,-8.0868,73764,Common Stock,USA,Nevada,
1774,MRZM,MARIZYME INC,OTCQB,1.9,,0,Common Stock,USA,Florida,
1775,RMSL,REMSLEEP HOLDINGS INC,OTCQB,0.0151,-3.8217,1590340,Common Stock,USA,Florida,
1776,GWTI,GREENWAY TECHNOLOGIES INC,OTCQB,0.013025,-12.5839,11400,Common Stock,USA,Texas,
1777,RPMT,REGO PAYMENT ARCHITECTURE,OTCQB,1.04,2.9703,18448,Common Stock,USA,Pennsylvania,
1778,SSFT,SONASOFT CORP,OTCQB,0.0385,-6.6667,10884,Common Stock,USA,California,
1779,FLES,AUTO PARTS 4LESS GRP INC,OTCQB,4.0,,0,Common Stock,USA,Nevada,
1780,RXMD,PROGRESSIVE CARE INC,OTCQB,0.0349,6.079,1474651,Common Stock,USA,Florida,
1781,SUME,SUMMER ENERGY HLDGS INC,OTCQB,0.512,27.7445,1337,Common Stock,USA,Texas,
1782,BASA,BASANITE INC,OTCQB,0.116,5.4545,32132,Common Stock,USA,Florida,
1783,SING,SINGLEPOINT INC,OTCQB,0.1098,10.9091,510482,Common Stock,USA,Arizona,
1784,VYCO,VYCOR MEDICAL INC,OTCQB,0.1,,0,Common Stock,USA,Florida,
1785,BIOAF,BIOASIS TECHNOLOGIES INC,OTCQB,0.11382,,4,Foreign Ordinary Shares,USA,Connecticut,
1786,WARM,COOL TECHNOLOGIES INC,OTCQB,0.0117,-2.5,203130,Common Stock,USA,Florida,
1787,BUDZ,WEED INC,OTCQB,0.1051,-4.4545,39131,Common Stock,USA,Arizona,
1788,MITI,MITESCO INC,OTCQB,0.127,-1.1288,164555,Common Stock,USA,Minnesota,
1789,BFYW,BETTER FOR YOU WELLNESS,OTCQB,0.0189,-7.3529,134774,Common Stock,USA,Ohio,
1790,GMER,GOOD GAMING INC,OTCQB,0.0625,-6.015,738375,Common Stock,USA,Pennsylvania,
1791,NBIO,NASCENT BIOTECH INC,OTCQB,0.421,-0.6255,20850,Common Stock,USA,Florida,
1792,LSMG,LODE-STAR MINING INC,OTCQB,0.037,,0,Common Stock,USA,Nevada,
1793,QGSI,QUANTGATE SYSTEMS INC,OTCQB,0.074,-14.5003,1000,Common Stock,USA,New York,
1794,MFON,MOBIVITY HOLDINGS CORP,OTCQB,0.963,-4.6535,2000,Common Stock,USA,Arizona,
1795,BICX,BIOCORRX INC NEW,OTCQB,2.145,0.7042,100,Common Stock,USA,California,
1796,CBDS,CANNABIS SATIVA INC,OTCQB,0.068,1.4925,75625,Common Stock,USA,Nevada,
1797,SOWG,SOW GOOD INC,OTCQB,2.2,,0,Common Stock,USA,Texas,
1798,SHMP,NATURALSHRIMP INC,OTCQB,0.0799,-3.8508,2512625,Common Stock,USA,Texas,
1799,BCRD,BLUEONE CARD INC,OTCQB,8.5001,,0,Common Stock,USA,California,
1800,ENCUD,ENCORE ENERGY CORP NEW,OTCQB,2.3,-4.9587,179057,Foreign Ordinary Shares,USA,Texas,
1801,XERI,XERIANT INC,OTCQB,0.046,4.7836,254805,Common Stock,USA,Florida,
1802,FNAM,EVOLUTIONARY GENOMICS INC,OTCQB,0.7,,0,Common Stock,USA,Colorado,
1803,CANB,CAN B CORP,OTCQB,2.17,-27.6667,2035,Common Stock,USA,New York,
1804,WSCO,WALL STREET MEDIA CO INC,OTCQB,0.071,,0,Common Stock,USA,Florida,
1805,TJBH,TENGJUN BIOTECHNLOGY CORP,OTCQB,3.0,,0,Common Stock,USA,North Carolina,
1806,GKIN,GUSKIN GOLD CORP.,OTCQB,1.0,11.1111,5956,Common Stock,USA,California,
1807,CANN,GENERAL CANNABIS CORP,OTCQB,0.2,2.3018,58992,Common Stock,USA,Colorado,
1808,FGCO,FINANCIAL GRAVITY COMP,OTCQB,0.07505,59.3418,184,Common Stock,USA,Texas,
1809,SMGI,SMG INDUSTRIES INC,OTCQB,0.185,-1.5957,6170,Common Stock,USA,Texas,
1810,CVSI,CV SCIENCES INC,OTCQB,0.041,-7.8652,331810,Common Stock,USA,California,
1811,VBHI,VERDE BIO HLDGS INC,OTCQB,0.002,-4.7619,25704035,Common Stock,USA,Texas,
1812,SOLS,SOLLENSYS CORP,OTCQB,0.0799,-15.8947,120400,Common Stock,USA,Florida,
1813,DIGP,DIGIPATH INC,OTCQB,0.0075,3.4483,15400,Common Stock,USA,Nevada,
1814,SILOD,SILO PHARMA INC NEW,OTCQB,6.76,-5.6195,1140,Common Stock,USA,New Jersey,
1815,IPNFF,IMAGINEAR INC,OTCQB,0.0364,0.2755,22050,Foreign Ordinary Shares,USA,Pennsylvania,
1816,WCUI,WELLNESS CENTER USA INC,OTCQB,0.0275,,0,Common Stock,USA,Arizona,
1817,NNMX,NANOMIX CORPORATION,OTCQB,0.272,-32.0,6877,Common Stock,USA,California,
1818,ENDV,NDONOVO THERAPEUTICS INC,OTCQB,0.007,12.9032,41075,Common Stock,USA,California,
1819,WSNAF,WESANA HEALTH HLDGS INC,OTCQB,0.08,0.0,56700,Foreign Ordinary Shares,USA,Illinois,
1820,SAML,SAMSARA LUGGAGE INC,OTCQB,0.197901,,0,Common Stock,USA,New York,
1821,MJNE,MJ HOLDINGS INC,OTCQB,0.2295,11.8149,1005,Common Stock,USA,Nevada,
1822,RAYT,RAYONT INC,OTCQB,0.25,,20,Common Stock,USA,California,
1823,ARTH,ARCH THERAPEUTICS INC,OTCQB,0.023,4.5455,512309,Common Stock,USA,Massachusetts,
1824,BMIX,BRAZIL MINERALS INC,OTCQB,0.0103,14.4444,6748997,Common Stock,USA,California,
1825,STCB,STARCO BRANDS INC,OTCQB,0.115,-4.1667,118286,Common Stock,USA,California,
1826,VRDR,VERDE RESOURCES INC,OTCQB,0.125,-3.8462,6900,Common Stock,USA,Missouri,
1827,BATRB,LIBERTY MEDIA SER B BRAVE,OTCQB,30.01,,0,Common Stock,USA,Colorado,
1828,FWONB,LIBERTY FORMULA ONE B,OTCQB,55.0,,0,Common Stock,USA,Colorado,
1829,CWGL,CRIMSON WINE GROUP LTD,OTCQB,6.5,0.0,22485,Common Stock,USA,California,
1830,FFLO,FREE FLOW INC,OTCQB,1.18,,0,Common Stock,USA,Virginia,
1831,AXIM,AXIM BIOTECHNOLOGIES INC,OTCQB,0.092,22.5033,469974,Common Stock,USA,California,
1832,BIOF,BLUE BIOFUELS INC,OTCQB,0.17,0.1178,98852,Common Stock,USA,Florida,
1833,CTVEF,CERTIVE SOLUTIONS INC,OTCQB,0.038,,0,Foreign Ordinary Shares,USA,Arizona,
1834,INTV,INTEGRATED VENTURES INC,OTCQB,0.0331,-8.0556,247189,Common Stock,USA,Pennsylvania,
1835,NUMD,NU-MED PLUS INC,OTCQB,0.035,22.807,870003,Common Stock,USA,Utah,
1836,ACAN,AMERICANN INC,OTCQB,0.301,-3.2154,312,Common Stock,USA,Colorado,
1837,GENH,GENERATION HEMP INC,OTCQB,0.31,0.0,4255,Common Stock,USA,Texas,
1838,MWRK,METAWORKS PLATFORMS INC,OTCQB,0.07,21.7391,157401,Foreign Ordinary Shares,USA,California,
1839,HMMR,HAMMER FIBER OPTICS HLDGS,OTCQB,0.3305,-5.5714,22050,Common Stock,USA,New York,
1840,BSTG,BIOSTAGE INC NEW,OTCQB,6.0,6.9519,970,Common Stock,USA,Massachusetts,
1841,OCEL,ORGANICELL REGENERTVE MED,OTCQB,0.04155,-5.6861,103860,Common Stock,USA,Florida,
1842,BMTM,BRIGHT MOUNTAIN MEDIA INC,OTCQB,0.45,,0,Common Stock,USA,Florida,
1843,ANVI,ANVI GLOBAL HOLDINGS,OTCQB,0.0,,0,Common Stock,USA,North Carolina,
1844,ATAO,ALTAIR INTERNATIONAL CORP,OTCQB,0.0175,-5.4054,375028,Common Stock,USA,Pennsylvania,
1845,SKYE,SKYE BIOSCIENCE INC,OTCQB,0.0258,2.1782,236084,Common Stock,USA,California,
1846,LEAI,LEGACY EDUCATION ALLIANCE,OTCQB,0.167,,0,Common Stock,USA,Florida,
1847,PRCX,PHOENIX RISING COS,OTCQB,0.0012,20.0,40931959,Common Stock,USA,Georgia,
1848,CLSHD,CLS HOLDINGS USA INC NEW,OTCQB,0.2,0.0,11539,Foreign Ordinary Shares,USA,Florida,
1849,UGEIF,UGE INTERNATIONAL LTD,OTCQB,0.76585,-3.106,6052,Foreign Ordinary Shares,USA,New York,
1850,GPHBF,G6 MATERIALS CORP,OTCQB,0.04,-3.8462,43442,Foreign Ordinary Shares,USA,New York,
1851,STEK,STEMTECH CORP,OTCQB,0.64,-0.0156,275392,Common Stock,USA,Florida,
1852,LBRDB,LIBERTY BROADBAND CP B,OTCQB,94.0,,0,Common Stock,USA,Colorado,
1853,IPSI,INNOVATIVE PYMNT SLUTIONS,OTCQB,0.036,-4.7619,3451996,Common Stock,USA,California,
1854,QBIO,Q BIOMED INC.,OTCQB,0.02,5.8201,17905,Common Stock,USA,New York,
1855,EWLU,MERION INC,OTCQB,0.076,,0,Common Stock,USA,California,
1856,HCYT,H-CYTE INC,OTCQB,6.0,,0,Common Stock,USA,Florida,
1857,UCLE,US NUCLEAR CORP,OTCQB,0.1822,-0.3337,59624,Common Stock,USA,California,
1858,NGTF,NIGHTFOOD HLDGS INC,OTCQB,0.1251,3.3884,111015,Common Stock,USA,New York,
1859,CHBRF,CHILL BRANDS GROUP PLC,OTCQB,0.0285,,0,Foreign Ordinary Shares,USA,Colorado,
1860,ITXXF,ITACONIX PLC ORD,OTCQB,0.064,,0,Foreign Ordinary Shares,USA,New Hampshire,
1861,OWPC,ONE WORLD PRODUCTS INC,OTCQB,0.0999,0.402,84802,Common Stock,USA,Nevada,
1862,HYEX,HEALTHY EXTRACTS INC,OTCQB,0.0625,-3.8462,120240,Common Stock,USA,Colorado,
1863,ABML,AMERICAN BATTERY TECH CO,OTCQB,0.5775,-4.0976,1892485,Common Stock,USA,Nevada,
1864,SSOK,SUNSTOCK INC,OTCQB,0.535,-17.8534,12612,Common Stock,USA,California,
1865,VMNT,VEMANTI GROUP INC,OTCQB,0.24,-1.8003,4480,Common Stock,USA,California,
1866,PLSH,PANACEA LIFE SCIENCE HLD,OTCQB,0.081,,0,Common Stock,USA,Colorado,
1867,FIFG,FIRST FOODS GROUP INC,OTCQB,0.09,,1,Common Stock,USA,Nevada,
1868,SIGY,SIGYN THERAPEUTICS INC,OTCQB,0.2,,0,Common Stock,USA,California,
1869,SHRG,SHARING SERVICES GLOBL CP,OTCQB,0.0283,-1.7361,100,Common Stock,USA,Texas,
1870,NRIS,NORRIS INDUSTRIES INC,OTCQB,0.11,,0,Common Stock,USA,Texas,
1871,CURR,CURE PHARMA HLDG CORP,OTCQB,0.255,6.25,15615,Common Stock,USA,California,
1872,GPFT,GRAPEFRUIT USA INC,OTCQB,0.0099,-1.0,26303,Common Stock,USA,California,
1873,FUST,FUSE GROUP HOLDING INC,OTCQB,0.301,,0,Common Stock,USA,California,
1874,ACBM,ARCO BIOMEDICAL CO LTD,OTCQB,2.61,13.4783,100,Common Stock,USA,Indiana,
1875,NPTX,NEUROPATHIX INC.,OTCQB,0.019,16.9231,6500,Common Stock,USA,Pennsylvania,
1876,BCTF,BANCORP 34 INC,OTCQB,14.54,-0.6491,2105,Common Stock,USA,New Mexico,
1877,VFRM,VERITAS FARMS INC,OTCQB,0.017,,81,Common Stock,USA,Florida,
1878,VIHD,VISION HYDROGEN CORP,OTCQB,4.75,-5.0,235,Common Stock,USA,New Jersey,
1879,LBUY,LEAFBUYER TECHNOLOGIES,OTCQB,0.04,-16.318,99761,Common Stock,USA,Colorado,
1880,AURX,NUO THERAPEUTICS INC NEW,OTCQB,2.25,12.5,3139,Common Stock,USA,Texas,
1881,LXXGF,LEXAGENE HLDGS INC ORD,OTCQB,0.0962,-0.5171,36349,Foreign Ordinary Shares,USA,Massachusetts,
1882,IVBT,INNOVATION1 BIOTECH IN,OTCQB,0.08,,5,Common Stock,USA,New York,
1883,HLYK,HEALTHLYNKED CORP,OTCQB,0.09,-10.0,245972,Common Stock,USA,Florida,
1884,CRCW,THE CRYPTO COMPANY,OTCQB,0.34,-27.3427,7369,Common Stock,USA,California,
1885,GPOX,GPO PLUS INC,OTCQB,0.19,-13.6364,1300,Common Stock,USA,Nevada,
1886,STMH,STEM HLDGS INC,OTCQB,0.023,2.9083,95100,Foreign Ordinary Shares,USA,Florida,
1887,QRON,QRONS INC,OTCQB,0.259,,0,Common Stock,USA,New York,
1888,EFBI,EAGLE FNCL BANCORP INC,OTCQB,18.4,,0,Common Stock,USA,Ohio,
1889,TNYYF,TINYBEANS GROUP PTY LTD,OTCQB,0.12,,0,Foreign Ordinary Shares,USA,New York,
1890,BRSF,BRAIN SCIENTIFIC INC,OTCQB,0.1161,,0,Common Stock,USA,Florida,
1891,WINR,SIMPLICITY ESPRTS&GAMING,OTCQB,0.04025,,0,Common Stock,USA,Florida,
1892,WINRW,SIMPLICITY ESPRTS&GMG WTS,OTCQB,0.016,-9.8592,30000,Warrants,USA,Florida,
1893,REKRW,REKOR SYSTEMS INC WTS,OTCQB,17.4799,,0,Warrants,USA,Maryland,
1894,FGNV,FORGE INNOVATION DEV CORP,OTCQB,1.1,,0,Common Stock,USA,California,
1895,KASHF,INTELLABRIDGE TECH CORP,OTCQB,0.11,0.0,6735,Foreign Ordinary Shares,USA,Colorado,
1896,VIVC,VIVIC CORP,OTCQB,0.6002,,0,Common Stock,USA,Nevada,
1897,INFT,INFINITY BANK SNTA ANA CA,OTCQB,8.65,,0,Common Stock,USA,California,
1898,RVIV,REVIV3 PROCARE CO,OTCQB,0.225,0.0,4200,Common Stock,USA,California,
1899,SYSX,SYSOREX INC,OTCQB,0.0125,2.459,1396552,Common Stock,USA,Virginia,
1900,OILCF,PERMEX PETROLEUM CORP,OTCQB,0.096,-4.9505,55340,Foreign Ordinary Shares,USA,Texas,
1901,AUSAF,AUSTRALIS CAPITAL INC,OTCQB,0.02552,-3.6981,16242,Foreign Ordinary Shares,USA,Nevada,
1902,ALID,ALLIED CORP,OTCQB,0.5909,5.5179,7508,Common Stock,USA,Nevada,
1903,LDSN,LUDUSON G INC,OTCQB,0.11,,0,Common Stock,USA,California,
1904,EMED,ELECTROMEDICAL TECH INC,OTCQB,0.0113,-35.0575,9420258,Common Stock,USA,Arizona,
1905,ILAL,INTERNATIONAL LAND ALLICE,OTCQB,0.2138,1.8095,14855,Common Stock,USA,California,
1906,BWLKF,BOARDWALKTECH SOFTWARE CP,OTCQB,0.62,-2.9278,9100,Foreign Ordinary Shares,USA,California,
1907,RELT,RELIANT HOLDINGS INC,OTCQB,0.0721,,0,Common Stock,USA,Texas,
1908,LDDFF,LIBERTY DEFENSE HLDGS LTD,OTCQB,0.207,1.2225,105625,Foreign Ordinary Shares,USA,Massachusetts,
1909,ICCT,ICORECONNECT INC,OTCQB,0.08405,20.0714,95290,Common Stock,USA,Florida,
1910,FDCT,FDCTECH INC,OTCQB,0.0119,-23.2258,63656,Common Stock,USA,California,
1911,HWKE,HAWKEYE SYSTEMS INC,OTCQB,0.022,4.7619,1500,Common Stock,USA,Georgia,
1912,ALDS,APPLIFE DIGITAL SOLUTIONS,OTCQB,0.04,,0,Common Stock,USA,California,
1913,UNXP,UNITED EXPRESS INC,OTCQB,1.0,,0,Common Stock,USA,Nevada,
1914,ATCLF,ADVANCETC LTD,OTCQB,0.055,-44.9449,2000,Foreign Ordinary Shares,USA,New York,
1915,XSHLF,XS FINANCIAL INC VOTING,OTCQB,0.071,,0,Foreign Ordinary Shares,USA,California,
1916,KITL,KISSES FROM ITALY INC,OTCQB,0.018,0.0,22112,Common Stock,USA,Florida,
