,Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
51,TRVR,TWO RIVERS FINCL GRP INC,OTCQX U.S. Premier,43.5,0.0,115,Common Stock,USA,Iowa,
52,ARBV,AMERICAN RIVIERA BANCORP,OTCQX U.S. Premier,17.3,,0,Common Stock,USA,California,
53,FISB,1ST CAP BANCORP,OTCQX U.S. Premier,11.3,-2.1645,1508,Common Stock,USA,California,
54,OTCM,OTC MARKETS GROUP INC A,OTCQX U.S. Premier,55.05,-1.959,1032,Common Stock,USA,New York,
55,EMYB,EMBASSY BANCORP INC,OTCQX U.S. Premier,20.815,-0.1683,1913,Common Stock,USA,Pennsylvania,
56,CNBB,CNB COMMUNITY BNCP INC,OTCQX U.S. Premier,38.5,,0,Common Stock,USA,Michigan,
57,CTUY,CENTURY NEXT FINANCIAL CP,OTCQX U.S. Premier,29.98,,0,Common Stock,USA,Louisiana,
58,PBAM,PRIVATE BANCORP OF AMER,OTCQX U.S. Premier,29.25,,0,Common Stock,USA,California,
59,UNIF,U&I FINANCIAL CORP,OTCQX U.S. Premier,11.8,-1.5025,200,Common Stock,USA,Washington,
60,FFMR,FIRST FARMERS FINANCIAL,OTCQX U.S. Premier,57.5,,25,Common Stock,USA,Indiana,
61,IFHI,INTEGRATED FINL HLDGS INC,OTCQX U.S. Premier,34.68,-2.3923,2183,Common Stock,USA,North Carolina,
62,CBWA,COMMENCEMENT BANCORP INC,OTCQX U.S. Premier,11.45,-0.4348,289,Common Stock,USA,Washington,
63,PMHG,PRIME MERIDIAN HLDG CO,OTCQX U.S. Premier,25.7,-1.1538,603,Common Stock,USA,Florida,
64,SABK,SOUTH ATLANTIC BANCSHARES,OTCQX U.S. Premier,15.37,-0.7747,9200,Common Stock,USA,South Carolina,
65,MCBI,MOUNTAIN COMM BANCORP INC,OTCQX U.S. Premier,28.12,-5.3199,260,Common Stock,USA,Tennessee,
66,CBBI,CBB BANCORP INC,OTCQX U.S. Premier,11.1,0.0,1200,Common Stock,USA,California,
67,VTYB,VICTORY BANCORP INC,OTCQX U.S. Premier,14.3,,0,Common Stock,USA,Pennsylvania,
68,CNBN,CNB BK SHS INC,OTCQX U.S. Premier,20.5,-1.2048,500,Common Stock,USA,Illinois,
69,MBLU,MORRIS ST BANCSHARES INC,OTCQX U.S. Premier,86.05,,0,Common Stock,USA,Georgia,
70,PBNC,PB FINANCIAL CORPORATION,OTCQX U.S. Premier,40.8,,0,Common Stock,USA,North Carolina,
71,CBTN,CITIZENS BNCRP INVT INC A,OTCQX U.S. Premier,44.0,,0,Common Stock,USA,Tennessee,
72,RYES,RISE GOLD CORP,OTCQX U.S.,0.3249,-1.5455,1533,Foreign Ordinary Shares,Canada,British Columbia,
73,AIXN,AIXIN LIFE INTL INC,OTCQX U.S.,3.32,,0,Common Stock,China,,
74,TOFB,TOFUTTI BRANDS INC,OTCQX U.S.,1.36,-6.2069,3003,Common Stock,USA,New Jersey,
75,CLRD,CLEARDAY INC,OTCQX U.S.,0.95,,28,Common Stock,USA,Texas,
76,NOBH,NOBILITY HOMES INC,OTCQX U.S.,24.15,2.5478,114,Common Stock,USA,Florida,
77,CRMZ,CREDITRISKMONITOR.COM INC,OTCQX U.S.,2.01,-6.0748,701,Common Stock,USA,New York,
78,MACE,MACE SECURITY INTL INC,OTCQX U.S.,0.149,-2.2951,141614,Common Stock,USA,Ohio,
79,LYBC,LYONS BANCORP INC,OTCQX U.S.,49.7,,20,Common Stock,USA,New York,
80,FMBL,FRMRS&MER BK LONG BCH CAL,OTCQX U.S.,7725.0,-0.3227,9,Common Stock,USA,California,
81,ENZN,ENZON PHARMS INC,OTCQX U.S.,0.2601,-0.7252,43794,Common Stock,USA,New Jersey,
82,CPKF,CHESAPEAKE FINCL SHS INC,OTCQX U.S.,24.0,-1.0309,1100,Common Stock,USA,Virginia,
83,BDCO,BLUE DOLPHIN ENERGY CO,OTCQX U.S.,1.15,-3.7657,3659,Common Stock,USA,Texas,
84,BRST,BROAD STREET REALTY INC,OTCQX U.S.,0.6,,0,Common Stock,USA,Maryland,
85,BVHBB,BLUEGREEN VACATIONS CL B,OTCQX U.S.,18.0,,0,Common Stock,USA,Florida,
86,AXAS,ABRAXAS PETROLEUM CORP,OTCQX U.S.,0.6999,-29.303,105346,Common Stock,USA,Texas,
87,HSBI,HERITAGE SOUTHEAST BANCRP,OTCQX U.S.,28.5,-0.8696,100,Common Stock,USA,Georgia,
88,INBP,INTEGRATED BIOPHARMA INC,OTCQX U.S.,0.49301,,0,Common Stock,USA,New Jersey,
89,FACO,FIRST ACCEPTANCE CORP,OTCQX U.S.,1.565,,0,Common Stock,USA,Tennessee,
90,QEPC,Q.E.P. CO INC,OTCQX U.S.,15.25,1.6667,694,Common Stock,USA,Florida,
91,HCBC,HIGH COUNTRY BANCORP INC,OTCQX U.S.,39.55,,0,Common Stock,USA,Colorado,
92,IDXG,INTERPACE BIOSCIENCES INC,OTCQX U.S.,1.95,2.6316,2491,Common Stock,USA,New Jersey,
93,INVUP,INVESTVIEW INC PFD SER B,OTCQX U.S.,25.0,,0,Preferred Stock,USA,New Jersey,
94,ALBY,COMMUTY CAP BNCSHS INC,OTCQX U.S.,14.75,,0,Common Stock,USA,Georgia,
95,EMMA,EMMAUS LIFE SCIENCES INC,OTCQX U.S.,0.18,-18.1818,38602,Common Stock,USA,California,
96,JDVB,JD BANCSHARES INC,OTCQX U.S.,28.5,,29,Common Stock,USA,Louisiana,
97,PFBX,PEOPLES FINCL CORP MISS,OTCQX U.S.,15.85,,0,Common Stock,USA,Mississippi,
98,LUMB,LUMBEE GUARANTY BK,OTCQX U.S.,10.45,,0,Common Stock,USA,North Carolina,
99,TRCK,TRACK GROUP INC,OTCQX U.S.,0.59,,0,Common Stock,USA,Illinois,
100,TBTC,TABLE TRAC INC,OTCQX U.S.,3.95,0.0,723,Common Stock,USA,Minnesota,
101,GRRB,GRANDSOUTH BNCRPRTN NEW,OTCQX U.S.,33.98,1.4328,1110,Common Stock,USA,South Carolina,
102,UWHR,UWHARRIE CAPITAL CORP,OTCQX U.S.,7.0,,0,Common Stock,USA,North Carolina,
103,CIBH,CIB MARINE BANCSHARES,OTCQX U.S.,34.0,0.0,1240,Common Stock,USA,Wisconsin,
104,ESBS,ES BANCSHARES INC (MD),OTCQX U.S.,5.2,,0,Common Stock,USA,New York,
105,UBAB,UNITED BNCRP OF AL INC  A,OTCQX U.S.,28.6,-1.2772,1040,Common Stock,USA,Alabama,
106,ADXS,ADVAXIS INC,OTCQX U.S.,2.08,-3.2558,1519,Common Stock,USA,New Jersey,
107,LGIQ,LOGIQ INC,OTCQX U.S.,0.3422,4.4885,61611,Foreign Ordinary Shares,USA,New York,
108,TCNB,TOWN CENTER BANK (IL),OTCQX U.S.,3.18,-10.4225,1725,Common Stock,USA,Illinois,
109,ZNOG,ZION OIL & GAS INC,OTCQX U.S.,0.1709,-4.8971,555134,Common Stock,USA,Texas,
110,ZNOGW,ZION OIL & GAS  INC WTS,OTCQX U.S.,1.3,,0,Warrants,USA,Texas,
111,USMT,US METRO BANCORP,OTCQX U.S.,4.71,0.0,200,Common Stock,USA,California,
112,OMHI,OM HOLDINGS INTL INC,OTCQX U.S.,0.51,-3.7736,3007,Common Stock,USA,Florida,
113,MNMB,MERCHANTS & MARINE BNCORP,OTCQX U.S.,37.25,,0,Common Stock,USA,Mississippi,
114,GNRV,GRAND RIVER COMMERCE INC,OTCQX U.S.,5.75,-0.8621,4775,Common Stock,USA,Michigan,
115,UNRV,UNRIVALED BRANDS INC,OTCQX U.S.,0.025,-13.7931,1354098,Common Stock,USA,California,
116,INLB,ITEM 9 LABS CORP,OTCQX U.S.,0.4,0.0,3700,Common Stock,USA,Arizona,
117,MRMD,MARIMED INC,OTCQX U.S.,0.43,0.0,322714,Foreign Ordinary Shares,USA,Massachusetts,
118,IQST,IQSTEL INC,OTCQX U.S.,0.2679,4.6484,315547,Common Stock,USA,Florida,
