Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code
EXSR,EXCHANGE BK SANTA ROSA,Pink Current,115.0,-3.0844,163,Common Stock,USA,California,"197,149,560",.
FFWC,FFW CORPORATION,Pink Current,47.9,1.9149,101,Common Stock,USA,Indiana,"54,651,792",6035 - Federal savings institutions
FIDS,FNB INC,Pink Current,31.0,,0,Common Stock,USA,Ohio,"20,861,078",6021 - National commercial banks
FMBL,FRMRS&MER BK LONG BCH CAL,OTCQX U.S.,7725.0,,0,Common Stock,USA,California,"957,475,125","6029 - Commercial banks, misc"
FABP,FRMRS BANCORP (IND),Pink Current,46.0,,0,Common Stock,USA,Indiana,"95,923,064",6022 - State commercial banks
FSCR,FEDERAL SCREW WORKS,Pink Current,6.91,,0,Common Stock,USA,Michigan,"9,546,821",3451 - Screw machine products
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,23.1,-0.8584,1221,Common Stock,USA,Michigan,"102,447,068",6022 - State commercial banks
FBSI,FIRST BANCSHS INC MO,OTCQX U.S. Premier,18.25,,0,Common Stock,USA,Missouri,"44,524,361","6036 - Savings institutions, except federal"
FBTT,FIRST BANKERS TRUSTSHARES,OTCQB,27.3,-2.4652,300,Common Stock,USA,Illinois,"81,585,531","6029 - Commercial banks, misc"
FCNCB,FIRST CTZNS BANCSHS B,Pink Current,749.0,,0,Common Stock,USA,North Carolina,"752,883,565",6022 - State commercial banks
FCIC,FCCC INC,OTCQB,1.65,,0,Common Stock,USA,California,"5,710,686",6770 - Blank Checks
FKYS,FIRST KEYSTONE CORP,Pink Current,22.75,4.5977,496,Common Stock,USA,Pennsylvania,"136,075,963",.
FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,246.95,0.4066,28,Common Stock,USA,Alaska,"782,062,251",.
ELMA,ELMER BANCORP INC,Pink Current,17.55,,0,Common Stock,USA,New Jersey,"20,203,595",.
FINN,FIRST NATL OF NEB INC,Pink Current,13850.0,0.0,2,Common Stock,USA,Nebraska,"3,617,149,100",.
FLEW,FLEETWOOD BANK CORP,Pink Current,61.0,,0,Common Stock,USA,Pennsylvania,"18,353,741",.
HCBN,HCB FINCL CORP,Pink Current,26.0,,0,Common Stock,USA,Michigan,"26,951,600",.
HFBA,HFB FINANCIAL CORP,Pink Current,32.49,,0,Common Stock,USA,Kentucky,"38,279,556",.
HMLN,HAMLIN BK&TR SMETHPORT PA,Pink Current,275.0,,0,Common Stock,USA,Pennsylvania,"100,290,300",.
HFBK,HARFORD BK ABERDEEN MD,Pink Current,32.0,2.4,110,Common Stock,USA,Maryland,"46,737,216",.
HBSI,HIGHLANDS BANKSHARES INC,Pink Current,43.86,,0,Common Stock,USA,West Virginia,"58,635,250",.
HONT,HONAT BANCORP INC,Pink Current,127.0,,0,Common Stock,USA,Pennsylvania,"183,944,514",.
WGEI,WINDGEN ENERGY INC,Pink Current,0.01,,0,Common Stock,USA,Arizona,"522,067",6794 - Patent owners and lessors
INRD,INRAD OPTICS INC,Pink Current,1.79,15.4839,1185,Common Stock,USA,New Jersey,"25,137,543","3679 - Electronic components, misc"
ITDN,INTERDYNE COMPANY,Pink Current,0.04,,0,Common Stock,USA,California,"1,599,998",6770 - Blank Checks
IVRO,INVITRO INTL,Pink Current,0.065,,0,Common Stock,USA,California,"1,479,388",2835 - Diagnostic substances
JBTC,JBT BANCORP INC,Pink Current,28.53,,0,Common Stock,USA,Pennsylvania,"69,433,347",6022 - State commercial banks
